creator_name,userid,comment
"HoppingHammy", 9431,"its ok girl we would rather wait for more vids and you feeling better than the opposite :)"
"Taylor Nicole Dean", 9431,"omg you can see casey simpson in the bottom right corner at 4:57"
"Cole & Marmalade", 9431,"cat drugs"
"Cole & Marmalade", 9431,"with the green screen you should somehow do cats in space! :P"
"Viktor Larkhill", 10269,"hey victor..you are wonderful human being..have no words to express the beautiful work that you are going.. you have inspired me in a way..I wish you and all your dogs great health and long long life.. love from India !"
"Taylor Nicole Dean", 10336,"I dont understand how you think she will make a good service dogs. SD are handled by a company here in Quebec (and given for free fully trained to people in need). For the first year they are fostered by families who expose them to as many things as possible and even then after a year the majority of them are deemed not fit for service work. They have to be ultra confident and never startled never afraid of anything etc... She seem like a good pet but the very opposite of what a service dog should be."
"Keedes channel LIVE", 10683,"Аа"
"Keedes channel LIVE", 10683,"Я хочу зобрать Рыжыка"
"Brian Barczyk", 10749,"Do your boss let you do this"
"Rachel Fusaro", 10765,"Im not allowed to have a dog because of money and my apartment doesnt allow dogs!! WHAT DO I DO!!!!???!?!?!?!?"
"Zak Georges Dog Training rEvolution", 10765,"Storm is like a giant the other dog bb8(bba babya baby8 i dont know his name.)"
"Zak Georges Dog Training rEvolution", 10765,"Youve been doing this for 11 years!???!?!?"
"ServiceDog Vlog", 10765,"Where are you? I miss your videos! Please upload if you can!"
"Zak Georges Dog Training rEvolution", 10765,"Chestnut is so cute. Your videos areuoer helpful for me. Ii dont have a dog yet but learning to train a dog ahead of time is really good for me."
"Vet Ranch", 10788,"Yeah I dont get why people cant handle surgery footage. Keep helping the animals!!"
"Brave Wilderness", 10924,"what happens if youre bit in water? how would you get it to let go? just wondering"
"Quaoar Power", 11047,"yeah :)"
"Quaoar Power", 11047,"Awesome video :) but I would have enjoyed it even more there were the names of each of these tiny people"
"Brave Wilderness", 11276,"Get bit by a great white next"
"eMusic Talent", 11413,"OMG that was amazing she sounded like a famous opera singer"
"Taylor Nicole Dean", 11434,"Ive been here before! I always thought it was kind of sad how many animals they gave cramped into that little store front. But its super cool!"
"Mạnh CFM", 11860,"em thích bài số 7"
"Mạnh CFM", 11860,"xinh wá a ơi"
"Brian Barczyk", 12111,"Green titan"
"Real Shock", 12127,"Плогеатор"
"2CAN.TV - Ripley the Toucan!", 12277,"cooking the bird would be easier if the stove was turned on just saying"
"Keedes channel LIVE", 12617,"я хочу рыжика"
"eMusic Talent", 12672,"The guy has quite the personality but his singing?  So-so... he didnt win."
"eMusic Talent", 12672,"Amazing"
"Top 10 COMPILATION", 12728,"hey where is pomerainian"
"The Dodo", 12728,"It is soo funy"
"The Dodo", 12728,"I live in Indonesia and I hated people who do that 😡😡😡😡😡😡"
"The Dodo", 12728,"😢😭😭"
"The Dodo", 12728,"Oh my how crule"
"The Dodo", 12728,"😰😰😰😷😷"
"The Dodo", 12728,"Awww what a cutie"
"Viktor Larkhill", 12728,"😰😰😰😭😭😭"
"The Dodo", 12728,"Im an Indonesian people and I live in bandung still i hate people who do that"
"The Dodo", 12728,"😂😂😂😅"
"Brian Barczyk", 13233,"11"
"Robin Seplut", 13450,"Omg i hate how he goes sksksksks every 2 seconds and that sound for some reason is so annoying"
"DanRock", 13450,"whats wit hteh click bait u fuking cuint"
"ojatro", 13483,"Such a dich"
"Brave Wilderness", 13529,"#1 trending!?"
"MonkeyBoo", 13796,"where does Boo go potty?"
"World Animal Awareness Society", 13796,"Name the Brindle one Brin! My aunt has a brindle dog named Brin!"
"Taylor Nicole Dean", 13796,"I LOVE the black snake! Please name him Warrior!"
"Maddie Smith", 13796,"Do a training my pets video (Mostly the dogs and  try to train your cat [lol i forgot your cats name])"
"The Pet Collective", 13796,"Why would people dislike i mean they didnt do this other people did!"
"Taylor Nicole Dean", 13796,"Doberman!"
"Gohan The Husky", 13796,"1:30 Gohan is like: I know If awesome!"
"Gone to the Snow Dogs", 13796,"Make a Doggy smoothie! Btw i dont do the recipes i just like watching them!"
"Gone to the Snow Dogs", 13796,"Doggy Smoothie!"
"HoppingHammy", 13796,"That looks hard to clean!"
"Vet Ranch", 13796,"We adopted our foster! We foster failed!"
"Maddie Smith", 13796,"Your black dog is is beautiful black so shiny! :D"
"Gone to the Snow Dogs", 13796,"That funny! When you give them the yogurt they bite the spoon!"
"Vet Ranch", 13796,"Papi you should call him Papi from the Beverly Hills Chihuahua movie! =)"
"Gone to the Snow Dogs", 13796,"Man your dogs have the worst luck! Hopefully Oakley and Shelby get better! :D"
"Taylor Nicole Dean", 14603,"Aww her pythons name is no name XD"
"Taylor Nicole Dean", 14603,"My mom just tried to cut my hair I got away with a 16th of my hair left the rest was shaved off by her evil"
"Brave Wilderness", 16462,"Hahah you must not eat the seeds😂"
"Info Marvel", 16661,"Like"
"LOST HIGHWAY", 16664,"@1.15. Maybe you should have hit the brakes instead of the horn?"
"꼬부기아빠 My Pet Diary", 17593,"귀여웡ㅋㅋㅋㅋㅋㅋㅋㅌ"
"Keedes channel LIVE", 17594,"На Рыжика похож!"
"Info Marvel", 17671,"Nuevo Bus"
"Info Marvel", 17671,"Una pregunta adonde te sale ojo de Halcón"
"Brian Barczyk", 18587,"You should show some ball pythons. Love those guys :D"
"Brian Barczyk", 18587,"Nice Twenty One Pilots merch kiddo XD"
"Brave Wilderness", 20573,"Coyotes crib got me laughing"
"Taylor Nicole Dean", 20593,"the parts where he rolled in the corals were so funny"
"foxalbiazul", 20871,"6:11 - I spy a late 1990s Oldsmobile Cutlass Ciera!"
"🐯 Romeo 🐯", 20871,"These two are adorable especially given their indifference to one another."
"Cockatoo Luck", 21532,"vah bahut acha😘"
"Brave Wilderness", 21877,"name the blue Cray fish bob"
"peahix", 21953,"Its the Heyweallsmoked family  :)   Got a little frisky there at the end...lol"
"peahix", 21953,"My uncle during the Christmas holiday would cook a turkey like this. Only problem was is the older folks would all sit around playing cards and getting smashed and the turkey always ended up either over cooked or worse falling off the bone down into the charcoal..lol. Oh the good ole days  ho ho ho!  :)"
"peahix", 21953,"1980...  a transitional year   :)"
"peahix", 21953,"Look at how young they all were? Griffith is rockin that porn mustache..lol"
"peahix", 21953,"Where was Carlos?  :)"
"peahix", 21953,"ok that was kind of trippy  :)"
"peahix", 21953,"The old banana in the tailpipe trick :)"
"peahix", 21953,"Pretty cool old retro stuff there dude but who turned out the lights?"
"peahix", 21953,"Omg!  I must have watched a lot of tv in 1980 because I remember all those commercials :)"
"peahix", 21953,"Now thats the Sea World I remember  :)"
"peahix", 21953,"When can we expect..  The Good Blob 2 - Revenge of the Can?  :)"
"peahix", 21953,"is that a $5 swap meet find?"
"peahix", 21953,"Hey I need one of those new IBM computers with the remote keyboard  :)"
"Frosted Forest Sasquatch - Alabama Bigfoot Investigations", 22940,"Hey brother where u hunt at what state you in"
"Colorado Bigfoot", 22940,"I think Reo has health problems"
"Frosted Forest Sasquatch - Alabama Bigfoot Investigations", 22940,"What light dont see lights what u smoking now"
"PENNSYLVANIA BIGFOOT & DOGMAN RESEARCH", 22940,"Lol"
"Frosted Forest Sasquatch - Alabama Bigfoot Investigations", 22940,"Where u live  what state"
"Frosted Forest Sasquatch - Alabama Bigfoot Investigations", 22940,"Where u live ryan"
"Cole & Marmalade", 22998,"At first I didnt cry but then I thought for a little then I started to cry. 😢 poor cats.."
"markit aneight", 23039,"meeerde! !!!! que sont devenus les guns???  tout mous ventripotants..."
"Brave Wilderness", 23172,"When the lobster was flipping its tail it sounds like fapping 😂"
"Brave Wilderness", 23172,"14:34 The part you all came for"
"Brave Wilderness", 23172,"Coyote Peterson: Im Coyote Peterson and Im about to enter the bite zone of the hippo. You guys ready?Chris Smoove: Hold on youre gonna use 5 arrows right?Coyote Peterson: What the hell are you talking about?Chris Smoove: Youre screwed man the Hippo will have no choice but to put you to SLEEP"
"Robin Seplut", 23975,"lmao the black cat"
"Taylor Nicole Dean", 24058,"5:08 When I found drama"
"xX23Richard23Xx", 24401,"Awesome video"
"ScubaFilmFactory", 24401,"Great video I love the intro I have liked and subscribed Maybe you can check out my channel!!!"
"Reef Builders", 24401,"A very nice video I look forward to seeing more I have liked and subscribe!"
"The Dodo", 24401,"Nice video I loved it!!"
"iMerkzzU", 24401,"Come on that is a blurry as they come!!!"
"xX23Richard23Xx", 24401,"Nice!!!"
"Mickey Smith", 24401,"I love the camo wetsuit!"
"PENNSYLVANIA BIGFOOT & DOGMAN RESEARCH", 24401,"Nice video I gave it a likeI posted a Sasquatch video myselfWon’t you give it a like to."
"The Dodo", 24401,"U need a scuba tank so you can stay down longer"
"The Dodo", 24401,"Wonderful and kind!!!"
"The Dodo", 24401,"A very nice video"
"Barbara Shupe", 24401,"I have to say im really impressed I have liked and subscribed!"
"The Dodo", 24401,"Now I want to try that with my dog!!!"
"Colorado Bigfoot", 24401,"Nice video I have liked and subscribed Wont you do the same.I have many Sasquatch videos myself so feel free to check them out"
"PENNSYLVANIA BIGFOOT & DOGMAN RESEARCH", 24401,"Nice video I have liked and subscribed Wont you do the same.I have many Sasquatch videos myself so feel free to check them out"
"xX23Richard23Xx", 24401,"kool video"
"Cincinnati Zoo & Botanical Garden", 24401,"Awesome video well done!!"
"xX23Richard23Xx", 24401,"Great video I gave it a like would you be so kind as to do the same?I can use all the likes I can get on this videohttps://www.youtube.com/watch?v=oj4dPmt2kdA"
"The Dodo", 24401,"As a horseman I was horrified by this video I am glad this pony was rescued"
"Mickey Smith", 24401,"How big would you say the shark was?"
"The Dodo", 24401,"This dog sure loves getting pet!!"
"FPLANETA FPLANET", 24426,"Grandes y maravillosas son tus obras oh Señor Dios Todopoderoso...... K emocionante ver este video."
"stacyvlogs", 24646,"Male cats are a lot more affectionate than females I have 2 female and 2 male cats and the males are the nicest of them all the females are snobs"
"stacyvlogs", 24646,"I hope she does well both my nanas got cancer but sadly didnt pull through they passed when i was 7 my dads mother passed 5 days before my birthday"
"Gohan The Husky", 24939,"goku:unleash your power Gohan! DO IT NOW!!!"
"Brave Wilderness", 25363,"Coyote won."
"The Dodo", 26560,"Omg so cute 😭😭😭 1:30"
"The Dodo", 26560,"Haha cute dog 2:04 😙"
"Hope For Paws - Official Rescue Channel", 26560,"Heroes ❤️"
"Brian Barczyk", 27323,"I use to get migraines just as you described. To make a long story short I found that if I got into soda real heavy then go without for a day I wouldnt not only sleep terrible but wake up with a crippling migraine. I guess the caffeine withdrawal plus the bad sleep it causes is great conditions for a migraine. Ive been in a caffeine free diet for a little while now and havent had a headache nor migraine. Hope you get to feeling better Good luck!"
"Brian Barczyk", 27323,"Brian youre doing great! Dont let people get to you I love your videos and love your thumbnails! Keep it up!"
"Brian Barczyk", 27689,"Sizzle I what I came up with"
"Brian Barczyk", 27689,"Omg people overreact way to much its like 50 raccoons 29 foxes 88 birds (any type)111 wolves 1000000 bugs (dont care for bugs but I dont purposely kill em) 92 fish and millions of habitats/plants die each day friggin people are like Hah ANIMALS nobody cares about those LIVING CREATURES THAT ACTUALLY EXIST AND GROW AND LIVE MOVE AND HELP US there just nothing but usefull tools (Such as horses dogs cats barn owls ferrets and eagles) (eagles are for hunting too like dogs) oh forgot its no big deal that we kill millions of animals or living things EACH DAY but we PANICK (CUS WE BE STUPID)if a single little Itty bitty HUMAN A DAY A SINGLE FRIGGIN DAY A SINGLE DAY A DAY if A PERSON DIES EACH CENTURY  (just being funny) BECAUSE WE DONT IMAGINE THAT A GIANT THING COMES STOMPING/CUTTING DOWN OUR HOMEIm only 9 so suck it I know all this so theres your proof that all this happens each friggin day OMFG LIFE ya know GOD JESUS CHRIST WHERES THE LOVE FOR ANIMALS"
"Brian Barczyk", 27689,"OMG first time watching already love you 😂😂😂😂😂😂😂😂😅😅😅😅😅😅😅😃😃😃😃😃😁😁😁😁😁😁😀😀😀😀😀😊😊😊😊😊😊☺☺☺☺☺😂"
"Brave Wilderness", 27884,"The Trailer was amazing 💖"
"Hope For Paws - Official Rescue Channel", 28013,"Aw is that cute 😍"
"Vet Ranch", 28053,"akeleven that is rude"
"Vet Ranch", 28053,"i saw a smile more logo"
"Hope For Paws - Official Rescue Channel", 28053,"good job you saved their life"
"Brian Barczyk", 28322,"Since i watched these videos with Brian i am not afraid of snakes anymore and I actually really want one for my birthday"
"Brian Barczyk", 28322,"Since i watched these snake videos i am not afraid of snakes anymore and now I really want a snake for my birthday"
"Brian Barczyk", 28322,"Since i watched Brian Barczyk I am not afraid of snakes anymore and i actually really want a snake for my birthday"
"Brave Wilderness", 29105,"lol this weekend Im going to Tucson mineral and gem world"
"Top View Viral", 30564,"Si quieres de esos lagartos crestados de Fiyi ven a Puerto Rico que aquí son una plaga."
"Viktor Larkhill", 33849,"I would love to have Suki. Although we live in a 2nd floor flat now so she would have to be a house cat. when we had to move in with our little Rosie (small black cat uncannily like Suki she was 17 yrs. old. She live for another year and although it broke our hearts when we had to put her down we knew it was for the best for her as she was very ill. But we had her for 17 enjoyable yrs. as she was 1 yr when we got her from the RSPCA."
"Brave Wilderness", 33856,"hornlizzardwins"
"Brave Wilderness", 33856,"cool video"
"Epic Wildlife", 34346,"Many people dont even realize some words we use are named after demons.....for example....Liaris a demon...and so is Murderer....two words we use names of demons"
"Hope For Paws - Official Rescue Channel", 34353,"There so cooooottteee"
"The Dodo", 35562,"Stop with this obvious pet abuse. I thought your channel was against that."
"CatAleah", 35609,"I cant stop listening to you gobble at red lol"
"Taylor Nicole Dean", 35609,"I feel the same thing about rats :(  I dont get rodents anymore because they only live a few years.  Breaks my heart."
"Robin Seplut", 35817,"Fuck that 1 dislike"
"Rachel Oleary", 36364,"Thank you for doing this give away! I would love to snag a subscription - itd definitely be something that both me and my Dad would love to read especially since were planning our newest tank for the new year. Im from England. c:"
"Rachel Oleary", 36364,"If youre in the UK near Salisbury Wiltshire Im pretty sure that Porton Garden Aquatic and Pets have a few of the Green Pleco Pleco plushies if you want to get one in time for Christmas/dont want to worry about shipping. I havent seen any sold anywhere else except there and online."
"Brian Barczyk", 36364,"Ive been surrounded by pets my entire life. My parents both had pets as children. My dad has kept fish since he was a child - my grandad even kept fish that have since become illegal to import into the UK and they both had dogs growing up [my grandad had a gorgeous Pyrenees x St Bernard]. Weve had 8 cats 3 dogs 6 rats 5 guinea pigs chinese water dragon crested gecko poison dart frogs stick insects crabs and too many fish currently 5 cats 3 dogs and the fish [though I plan to get a ball python soon]. When I move out I want to limit myself more than my parents have. I would love to have a ball python a dog or two some fish and maybe a mexican black kingsnake and rats again [which compared to the pets we have now doesnt sound like a lot]. Ive found that Ill make any excuse to look at animals be it ducks at the lake pets in a pet store zoos which does frustrate my friends and bore my family but its one of the few things that Im passionate about and as long as owners can provide care for their animals it shouldnt matter whether someone else thinks they have too many."
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Супер!Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Спасибо за видео!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Красивые цветы!Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"От меня лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"От меня лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Супер!Лайк!"
"Gnat Vova", 36515,"Супер!Лайк!"
"Gnat Vova", 36515,"Супер!Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Прикольно!Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Gnat Vova", 36515,"Лайк!"
"Brave Wilderness", 36643,"Cool!!!!!!😘"
"Mạnh CFM", 37030,"Anh mạnh teat nhân aVật maria coi có bom rơi k sao e chơi có khi có có khi k"
"Mạnh CFM", 37030,"89 viên mà a mạnh"
"Mạnh CFM", 37030,"anh sai dien thoai nao vay"
"Mạnh CFM", 37030,"anh manh ơi chỉ em nhận acc vẳng đi"
"Mạnh CFM", 37030,"Anh mạnh. Cho e xin cái khí tự đấu chấm hỏi của anh bg mà ảnh nhắn tin trong games là hs2 mid đông anh xem lai và cho e xi cái kí tự đó nha e  có 1 niềm đam mê cf legend"
"Mạnh CFM", 37030,"Cho em xin cái kí tự pn đi"
"Mạnh CFM", 37030,"anh xài điện thoại nào vậy"
"Mạnh CFM", 37030,"sao nhận được acc vng vậy anh mạnh"
"Mạnh CFM", 37030,"Bài nhạc đó tên là Despacito của j.fla music"
"Mạnh CFM", 37030,"sao nhận được acc giống anh được vây"
"Mạnh CFM", 37030,"😭"
"Mạnh CFM", 37030,"anh mạnh ơi anh chỉ em nhận acc vẳng đi em xin đấy"
"Mạnh CFM", 37030,"i"
"Brave Wilderness", 37321,"eso es una pinche tuna :v"
"Gone to the Snow Dogs", 37636,"#ASKGTTSD my 8 month old morkie (yorkie+maltese) is terified of other dogs even if the are sleeping he will start to shake and i dont know if it is because he is a rescue.HELPPPPPP"
"Hope For Paws - Official Rescue Channel", 37970,"You had to do what you had to do. Shes safe and happy now 💚"
"Pickles12807", 37970,"That cage is literally the size of a little hut I have inside my hamsters cage!"
"Doug The Pug", 38363,"my life is complete XD"
"best pets", 38557,"1:08 thug life"
"Real Shock", 39582,"Все"
"Brave Wilderness", 40074,"I like cayote statue! :)"
"Brave Wilderness", 40464,"coyote looks pretty fired up..."
"REALITY TALK REVIEWS", 40878,"Been saying this for a long time."
"Brian Barczyk", 41129,"Sharks venomous snakes and lions"
"#CameraLord™ • Kor Capital", 41444,"💯💯"
"ViralHog", 41548,"First"
"RestRelaxationReiki", 41575,"Can you listen to more than one reiki in the same day??"
"BarkBox", 41679,"well never stop getting barkbox for our dog he likes it too much. Does anyone know if there is a barkbox option to get just one toy a month? Thats all our dog can handle"
"Cole & Marmalade", 43112,"I blow smoke in my cats ear right to his brain"
"Funny Pets", 43424,"0:35 me when I try to smile . Sorry for my bad English. I am Romanian."
"Keedes channel LIVE", 43611,"👍👍👍👍👍👍👍👍😻😻😻😻😻😻😻😸😸😸😸😹😹😹😹😹😹😹😹💰💰💳💳"
"Keedes channel LIVE", 43611,"мне"
"Keedes channel LIVE", 43611,"я даже заплакал"
"Taylor Nicole Dean", 43708,"Doberman/greyhound (cross?)"
"The Parakeet Perch", 44039,"I have tried different snacks for my budgies such as boiled eggs oranges and bananas and they just dont even bother with them the same goes with my pellet food I put in their silo feeder any ideas or tips to interest them??"
"Mewtley", 45310,"Derp..."
"MonkeyBoo", 45416,"Hahahah"
"LPE360", 45581,"That last guy with the paper plate is just a pussy"
"LPE360", 45581,"At 3:03 that chain is so small fuck Id be able to snap that no problem. ..shes a joke"
"Brave Wilderness", 45960,"I have horrible arachnophobiawhy am I watching this O_O"
"Brave Wilderness", 46471,"When you live nowhere near there but your so scared of spiders that you will ALWAYS check your shoes and sheets for spiders....."
"Brave Wilderness", 46471,"Here b4 this goes trending!!"
"Brave Wilderness", 46471,"Coyote you are INSANE!!!!! THAT LOOKS SO SCARY!Poor Coyote. It must have hurt so bad"
"Brave Wilderness", 46471,"Bearded *DRAGON*   *DUN DUN DUUUUNNNNN*"
"Brave Wilderness", 46471,"Am I the only one who feels bad when watching Coyote get hurt?"
"stacyvlogs", 46471,"I love you Stacy!! You are such an inspiration to me. You are my role model. Love Annina"
"Brave Wilderness", 46471,"I love this channel because it is so interesting and teaches me about animals and some of the dangers and things you need to know about them. I love watching your videos bc it is so amazing how brave you are and I think that if you can let a warrior wasp bite you then i can conquer my fear of spiders. With the pack I would go on an adventure (over a break probably). I would see what animals I find (although not too close). Stay Wild Coyote!! I’ll see you in your next adventure!!"
"Brave Wilderness", 46471,"Coyote : *gets bitten by a Gila monster* *stays calm*Collins: *gets bitten by cricket* *screams*"
"stacyvlogs", 46471,"Q: Is there a specific kind of breed of a dog that you want? If yes which one?"
"stacyvlogs", 46471,"Q:  What should you name a dog if you get another one??"
"Brave Wilderness", 46471,"Poor Coyote#NotificationSquadEdit: why am I getting hate just for saying that I feel bad for Coyote?"
"KajouTV", 46490,"Granmoun nn ap tiyem loll gwo bèf tibèf!"
"Vet Ranch", 47141,"you inspired my wife to go to vet school she loves these videos  I love your gun demolition ranch and off the ranch and shes been on this change every day looking gor new videos. you tube and google have been doing the same to my channel. we love the videos man !! dont give up"
"Brave Wilderness", 47141,"you know you have good co-workers in your life when they give you a fruit that makes you puke everything out you had in last year hahaha"
"Brian Barczyk", 47141,"sounds bad but I went on a year trip and my mother left the lights and fake tree up till I got back in October of the following year ...I took them down only to have to put them back up a month later lol so technically we had Christmas stuff up for a year straight"
"Brave Wilderness", 47141,"Love the videos man!! Cant tell if your the craziest man alive or one of the bravest lol ( this comment is not a complaint but...) holly crap the adds had me in suspense lol even time something went to happen a add popped up hahaha"
"Brian Barczyk", 47141,"Im a animal colector and rescue ..well I wouldnt say colector it just ended up that way. I have hundreds of animals with special needs that have make there way to me. snakes that were hit by cars  unwanted pets that the owner couldnt care for  or some were just left to die. if you have your hands full and need a person to take a few animals or need any help with them in general please let me know Ill be happy to help. my priority it the best health of the animal."
"stacyvlogs", 47176,"To make you feel better. My favorite part with her is when she said take that GRASHER. I was laughing so hard."
"Brave Wilderness", 48008,"7:38 that made me laugh 😂*starts singing**relising he found a worm*OHHHH"
"Brave Wilderness", 48008,"You should do a series of Bug Theatre!"
"Steff J", 48342,"Give away the baby ducks to your YouTube subscribers who want one"
"Steff J", 48342,"can she fly yes or no if no why"
"Steff J", 48342,"Ive not see this video yet but if they are fertile please give them away please #duck lover for life"
"Carolina Coops Videos", 48990,"Beautiful coops! Wish I could afford to buy one of your bigger coops."
"ShowMe", 49007,"that was a gold buzzer"
"Epic Wildlife", 51873,"WTF! Just I watch! 😩"
"Taylor Nicole Dean", 52429,"Rule number one: Do NOT take cheese to the dairy section in a deli"
"Taylor Nicole Dean", 52429,"Since my mom cant afford for me to take proper care of my hermit crabs I feel the need to give them a proper home. They do have painted shells and I begged my mom o let me get natural shells and a bigger cage and the correct food and all that but my mom doesnt have the money for it. I cant even get them a heat lamp and I feel really bad for the care theyre in. Watching this video made me really bad for my hermit crabs. I have three of them and I cannot take care of them I do try and take care of them as much as I can but I know theyre not happy and I feel REALLY bad. I have no idea what to do so I came to this video for help but instead it made me feel really bad."
"Brave Wilderness", 52443,"https://www.youtube.comhttps://www.youtube.comhttps://www.youtube.comhttps://www.youtube.com"
"Meu Zoológico", 52838,"ALGUÉM SE LEMBROU DA SENHORA KIPLING? KKK"
"best pets", 53292,"The girl sounds like shes using men a protection"
"Taylor Nicole Dean", 53358,"i love your video and why i cant follow you on snapchat"
"Hope For Paws - Official Rescue Channel", 54096,"😢😢😢😢😢😢😢😢😢"
"Brian Barczyk", 55694,"Aw you shouldve shown when you fed Bella! Its always so adorable!"
"Brian Barczyk", 55694,"I wouldnt do this just because the snake might get hurt."
"Brian Barczyk", 55694,"Ive never been this fast before"
"Brian Barczyk", 55694,"Happy birthday Brian!!!"
"SnakeHuntersTV", 55694,"Can you do a video showing any rare mutations or patterns on snakes?"
"Brian Barczyk", 55694,"Hey Brian whenever Im feeling down I can just go to one of your videos and just forget any bad memories. I am very thankful for that and thank you for being such an inspiration for everybody who loves animals or wants to love animals!"
"Brian Barczyk", 55694,"50th viewer!!!"
"Brian Barczyk", 55694,"Hey Brian thank you for being such an amazing inspiration for all of us! Its just so fantastic of you to show everybody how lovely and trusty reptiles can be keep up the good work man! As an experienced student i know that you dont get a tamed reptile as soon as you handle it and there for you are such a great inspiration because you prove that handling them for a longer period of time makes them bond with you. All im trying to say is keep doing you because it slowly but surely changes this worlds thinking about reptiles."
